Package Name,Category,Status,Recommendation,Justification,Dependencies,Priority
@dibdab/core,Core,Active,KEEP,Foundation of the editor,prosemirror,CRITICAL
@dibdab/pm,Core,Active,KEEP,ProseMirror wrapper,prosemirror,CRITICAL
@dibdab/react,Framework,Active,KEEP,React integration - our primary framework,core,CRITICAL
@dibdab/vue-2,Framework,Active,REMOVE,Legacy Vue 2 (EOL) - not needed,core,LOW
@dibdab/vue-3,Framework,Active,REMOVE,Vue 3 - can add back later if needed,core,LOW
@dibdab/html,Utility,Active,KEEP,HTML rendering for SSR/export,core,HIGH
@dibdab/markdown,Utility,Active,KEEP,Markdown import/export,core,HIGH
@dibdab/static-renderer,Utility,Active,KEEP,Static rendering,core,MEDIUM
@dibdab/extensions,Utility,Active,KEEP,Bundled utilities (placeholder focus undo-redo etc),core,HIGH
@dibdab/suggestion,Utility,Active,KEEP,Suggestion/autocomplete functionality,core,MEDIUM
@dibdab/extension-text,Text,Active,KEEP,Base text node - fundamental,core,CRITICAL
@dibdab/extension-paragraph,Text,Active,KEEP,Paragraph node - fundamental,core,CRITICAL
@dibdab/extension-document,Text,Active,KEEP,Document node - fundamental,core,CRITICAL
@dibdab/extension-bold,Formatting,Active,KEEP,Bold formatting - essential,core,CRITICAL
@dibdab/extension-italic,Formatting,Active,KEEP,Italic formatting - essential,core,CRITICAL
@dibdab/extension-underline,Formatting,Active,KEEP,Underline formatting - essential,core,CRITICAL
@dibdab/extension-strike,Formatting,Active,KEEP,Strikethrough - essential,core,CRITICAL
@dibdab/extension-heading,Formatting,Active,KEEP,Headings H1-H6 - essential structure,core,CRITICAL
@dibdab/extension-hard-break,Formatting,Active,KEEP,Line breaks - basic functionality,core,CRITICAL
@dibdab/extension-text-style,Formatting,Active,KEEP,Text styling foundation,core,CRITICAL
@dibdab/extension-color,Formatting,Active,KEEP,Text color - very useful for canvas,core,HIGH
@dibdab/extension-font-family,Formatting,Active,KEEP,Font selection - very useful for canvas,core,HIGH
@dibdab/extension-text-align,Formatting,Active,KEEP,Text alignment - layout control,core,HIGH
@dibdab/extension-subscript,Formatting,Active,REMOVE,Subscript - specialized formatting,core,LOW
@dibdab/extension-superscript,Formatting,Active,REMOVE,Superscript - specialized formatting,core,LOW
@dibdab/extension-highlight,Formatting,Active,REMOVE,Text highlighting - can add back,core,MEDIUM
@dibdab/extension-image,Content,Active,KEEP,Image embedding - useful for rich content,core,HIGH
@dibdab/extension-link,Content,Active,KEEP,Hyperlinks - useful for interactive content,core,HIGH
@dibdab/extension-youtube,Embed,Active,REMOVE,YouTube embeds - not canvas editing requirement,core,LOW
@dibdab/extension-twitch,Embed,Active,REMOVE,Twitch embeds - niche use case,core,LOW
@dibdab/extension-audio,Embed,Active,REMOVE,Audio embeds - not needed initially,core,LOW
@dibdab/extension-bullet-list,List,Active,REMOVE,Bullet lists - can add back if needed,core,MEDIUM
@dibdab/extension-ordered-list,List,Active,REMOVE,Numbered lists - can add back if needed,core,MEDIUM
@dibdab/extension-list,List,Active,REMOVE,Generic list extension,core,MEDIUM
@dibdab/extension-blockquote,Block,Active,REMOVE,Block quotes - more suited for documents,core,LOW
@dibdab/extension-details,Block,Active,REMOVE,HTML details/summary - rarely used,core,LOW
@dibdab/extension-horizontal-rule,Block,Active,REMOVE,Horizontal dividers - low priority,core,LOW
@dibdab/extension-code,Code,Active,REMOVE,Inline code - developer-focused,core,LOW
@dibdab/extension-code-block,Code,Active,REMOVE,Code blocks - developer-focused,core,LOW
@dibdab/extension-code-block-lowlight,Code,Active,REMOVE,Syntax highlighting - large deps,core + lowlight,LOW
@dibdab/extension-table,Advanced,Active,REMOVE,Table support - complex can add back,core,MEDIUM
@dibdab/extension-table-of-contents,Advanced,Active,REMOVE,Table of contents - for long-form docs,core,LOW
@dibdab/extension-mathematics,Advanced,Active,REMOVE,LaTeX math - specialized use case,core + katex,LOW
@dibdab/extension-emoji,Advanced,Active,REMOVE,Emoji picker - users can paste emojis,core,LOW
